wl	n
0.2200	1.4100037864505
0.2348	1.4045008609105
0.2496	1.4001200474863
0.2644	1.3965661561261
0.2792	1.3936372151016
0.2940	1.3911906192273
0.3088	1.3891229999484
0.3236	1.3873577396316
0.3384	1.3858369477301
0.3532	1.3845161459546
0.3680	1.3833606546095
0.3828	1.3823430788662
0.3976	1.3814415246416
0.4124	1.3806383094793
0.4272	1.3799190160798
0.4420	1.3792717873195
0.4568	1.3786867942488
0.4716	1.3781558298298
0.4864	1.3776719953054
0.5012	1.3772294556526
0.5160	1.3768232471413
0.5308	1.3764491246014
0.5456	1.3761034392453
0.5604	1.3757830402109
0.5752	1.3754851946748
0.5900	1.3752075226147
0.6048	1.3749479432141
0.6196	1.374704630581
0.6344	1.3744759769673
0.6492	1.3742605620635
0.6640	1.3740571272438
0.6788	1.3738645538661
0.6936	1.3736818449092
0.7084	1.373508109373
0.7232	1.3733425489722
0.7380	1.3731844467466
0.7528	1.3730331572768
0.7676	1.3728880982511
0.7824	1.3727487431739
0.7972	1.3726146150412
0.8120	1.3724852808399
0.8268	1.372360346749
0.8416	1.3722394539428
0.8564	1.3721222749105
0.8712	1.3720085102209
0.8860	1.3718978856713
0.9008	1.3717901497695
0.9156	1.3716850715052
0.9304	1.3715824383722
0.9452	1.3714820546114
0.9600	1.3713837396449
0.9748	1.3712873266794
0.9896	1.371192661457
1.004	1.3711020963457
1.019	1.3710092417017
1.034	1.3709177750007
1.049	1.3708275772701
1.064	1.3707385379439
1.078	1.3706563888596
1.093	1.3705693036711
1.108	1.3704830946601
1.123	1.370397678086
1.138	1.3703129757258
1.152	1.3702344999777
1.167	1.3701509751829
1.182	1.3700679630407
1.197	1.3699854031778
1.212	1.3699032389446
1.226	1.3698268622925
1.241	1.3697453149128
1.256	1.3696640159692
1.271	1.3695829210033
1.286	1.3695019881315
1.300	1.3694265621605
1.315	1.369345832669
1.330	1.3692651556301
1.345	1.3691844976789
1.360	1.3691038272691
1.374	1.3690284972919
1.389	1.3689477195637
1.404	1.368866846237
1.419	1.3687858518394
1.434	1.3687047122074
1.448	1.3686288305994
1.463	1.3685473461603
1.478	1.368465652409
1.493	1.3683837295906
1.508	1.3683015589086
1.522	1.3682246268443
1.537	1.3681419269642
1.552	1.3680589290877
1.567	1.3679756176696
1.582	1.3678919778764
1.596	1.3678136052996
1.611	1.3677292910509
1.626	1.3676446086515
1.641	1.3675595457003
1.656	1.3674740903324
1.670	1.3673939679152
1.685	1.3673077220929
1.700	1.3672210518752
